100,61
104,61
118,61
125,61
132,61
146,61
152,61
168,61
173,61
177,61
180,63
182,64
183,66
183,67
183,69
182,71
179,72
171,78
156,88
137,102
113,118
94,130
88,135
79,141
77,143
77,144
78,144
79,144
80,144
85,144
92,143
105,141
120,139
134,137
163,133
166,132
177,131
184,131
187,131
188,131
188,132
187,132
186,132
184,133
181,136
177,139
171,147
165,158
159,171
153,186
148,208
148,211
147,222
147,226
147,229
147,236
149,238
151,239
152,240
154,241
156,241
157,241
159,241
160,241
161,241
162,241
161,241
