86,38
88,38
90,38
92,38
99,38
106,38
111,38
120,37
130,36
141,35
147,35
154,35
160,35
165,35
170,35
174,35
177,36
180,36
183,37
184,37
185,37
186,38
187,38
187,39
187,40
186,40
186,41
185,42
184,43
183,44
180,44
178,45
174,46
170,47
163,49
154,51
141,55
129,60
123,62
117,64
103,70
98,73
92,77
87,80
83,83
79,86
76,88
74,90
73,91
72,92
71,93
70,93
70,94
70,93
71,92
72,91
73,91
74,90
77,89
79,88
83,87
89,86
99,85
110,84
122,84
135,83
147,83
158,82
164,82
170,82
186,82
196,82
205,82
210,82
214,82
217,82
219,82
220,82
221,82
221,83
221,84
220,84
219,85
218,85
216,86
215,86
213,87
212,88
210,89
208,90
207,92
204,95
201,99
198,104
194,110
190,115
186,122
182,129
181,132
179,137
177,143
175,149
174,157
173,164
173,171
173,179
173,186
173,191
176,196
178,202
180,207
182,211
185,215
187,218
190,221
193,224
195,225
196,226
197,226
198,226
199,226
